SL. ,Comment,Hate,Type
1,Kanki ki der Allah sob samoy valo rake,Yes,Others
2,khanki akta,Yes,Sexual
3,Ore saniliyon,Yes,Sexual
4,Bokachoda Shangbadik,Yes,Slang
5,Balda dekhaiche,Yes,Slang
6,Shob Gorther Lilakhela,Yes,Sexual
7,Sobai sundorer pujari,No,Not Hate
8,lerimoni,Yes,Sexual
9,Jana Galo Pori moner akta cheler khoj,No,Not Hate
10,Pori apu valo hoya gese,No,Not Hate
11,Amader ei eisob party er sponser korbe abar,No,Not Hate
12,Ahare gali dite mon chay parlamna,Yes,Others
13,Vai toder kaj kam ase? Ke ki vabe pad dilo tao jante hobe toder?,Yes,Others
14,More ja tui,Yes,Racial
15,Ei channel er ki r kono kaj nai vai news er ki etoi ovab,No,Not Hate
16,Chamrar Bebsha valoi cholche,Yes,Sexual
17,Ortho thakle gorther obhab hoy na,Yes,Sexual
18,Vabiiiiiiii jiiii,No,Not Hate
19,Koi taka danda korchos,Yes,Others
20,Baler News,Yes,Slang
21,Erkom bokachoda News channel thakle entertainment er ovab hobe na..,Yes,Racial
22,Tmdr mto shuar shangbadik ai shaua e dekhaba,Yes,Racial
23,Nastik,Yes,Religious
24,Film star nah hoiya or porn star houa dorkar chilo,Yes,Sexual
25, Eto tk koi pailo?,No,Not Hate
26,Ami lej kata magi,Yes,Slang
27,miss korlen,No,Not Hate
28,Banglar Sunny,Yes,Sexual
29,Gud Becha Tk diya shob shomvob,Yes,Sexual
30,Ufff amr poritar ki lagca,No,Not Hate
31,Er pasay Dim Therapy Dawa hok,Yes,Others
32,Bon bivag er dristy akorshon korchi,No,Not Hate
33,Ji...ami o,No,Not Hate
34,Porimoni age theke manoshik protibondhi,Yes,Racial
35,Holud Shangbadik sagoler tin number baccha,Yes,Racial
36,Potitar Cheye o oke beshi ghrina kore,Yes,Sexual
37,Tor mar heda,Yes,Sexual
38,Tomara media ra baler video banaiba,Yes,Racial
39,"24 Octobot ""Porimoni""Diboser jonno zorDabi janachi.",No,Not Hate
40,Banglar number one pornstar ,Yes,Sexual
41,Amar naika,No,Not Hate
42,Tui e din e ashcos ovishab hoya,Yes,Others
43,Apni jahannami sathe buira khatash keo jahannami korsen,Yes,Religious
44,Bash kibhabe nite hoy,Yes,Others
45,Tor nichtolar rate koto?,Yes,Sexual
46,Dalal Shangbadik,Yes,Racial
47,Priyo shomoy news,No,Not Hate
48,khanki take desh chara kora hok,Yes,Slang
49,Porir moton mon,No,Not Hate
50,nsu er SAC er 7 talay amrao er cheye kom bilashbohul jonmodin kom korinai,No,Not Hate
51,16 gonta hoga mara,Yes,Slang
52,Pelastic er dhon,Yes,Sexual
53,Eshb Bokachondro re niye bangla tribune ekhn news kore chi,Yes,Slang
54,Paponer mayre chudi,Yes,Slang
55,Akash vora tara tigerder hoga mara shara,Yes,Racial
56,Ajke match here bangladesh final a uthe gelo ,Yes,Others
57,Sob somikoron thik thakbe vai..but din sesh a banhladesh nijei hari bose thakbe,No,Not Hate
58,Variation nai khub ekta,No,Not Hate
59,Hahahhahhah vai amr 1kg khejur lagbe plz Bangladesh team k ektu bolben ,No,Not Hate
60,Discount ki pabo,No,Not Hate
61,"Poralekha er jonne kansilam , mair khaia ",No,Not Hate
62,Ei Nudi dare dekhlei rag lage,Yes,Sexual
63,"Tor mare tui chod, tor putki tui mar",Yes,Sexual
64,Tapa tap tapa tap,Yes,Sexual
65,Ai shob nostami shodho Bangladesh ei shomvob.oporad koreo buk fuliye nilojjer moto ghure beray r media gulu eder niye koto shundor shundor news koreee... Baaah baaah baaah...,No,Not Hate
66,Tate amar bal chera gelo,Yes,Sexual
67,Ekta beyadop mohila,Yes,Racial
68,khanki soda,Yes,Slang
69,Amon rajokio porivesey ami porike kethe chai,Yes,Sexual
70,Dalal media r kono kobor nai,Yes,Racial
71,Abal marka news,Yes,Slang
72,Magi der news valo korte pare baler shangbadik,Yes,Racial
73,Kheye daw,Yes,Sexual
74,Shangbadik re ek rat thakte dise,Yes,Racial
75,Kuttar baccha,Yes,Slang
76,Mod o chamra bebshai shofol tui,Yes,Others
77,Mandar tel martache,Yes,Others
78, Vaiye mone hoy Nayok Jhoni r big fan,No,Not Hate
79,Amader to ar khaya daya kaj nai.... Je prem kormu ,No,Not Hate
80,Vai gan tare dhorson kore dilen,Yes,Racial
81,Bhodar Gan,Yes,Racial
82,Meye tar name ki ,No,Not Hate
83,Eida ki chilo reee vai,No,Not Hate
84,Op level er edit,No,Not Hate
85,Vai moja pailam ,No,Not Hate
86,Bah sudir vai bah Post datar akta bici kete  National Zoo te rakha hok ,Yes,Racial
87,Sei level er binodon disen,No,Not Hate
88,Ore chitar,Yes,Racial
89,Joni dada hoilo jatiyo pramik...sha tr shob fan reei tr valobasha deey,Yes,Sexual
90,joni sing ar ai naika tar nam ki ,No,Not Hate
91,Taklu da k??  Na jana ami ,No,Not Hate
92,Gaan ta sei,No,Not Hate
93,Gan er sathe milse,No,Not Hate
94,Tomra egula share dite paro na??,No,Not Hate
95,Babu oi deko madarchod,Yes,Racial
96,Tomar moton vondo nato ,Yes,Racial
97,ei bal chal share dewar somoy ache ni?,Yes,Racial
98,achooda means virgin ,Yes,Sexual
99,Beda ki bujhli,No,Not Hate
100,Tumi giye kete diye aso,No,Not Hate
101,Pakhi na nunu?,Yes,Sexual
102,Akata nunu,Yes,Sexual
103,Tui ekhane dhormo niye ansos tai tor mare chudi,Yes,Religious
104,Dhonu,Yes,Sexual
105,Ha toke puruskar dibe tui vlo bujcos,No,Not Hate
106,Last warning dilam Dhormo niye kono baje montobbo korben na ,No,Not Hate
107,kisu koilam na ar,No,Not Hate
108,na bojhar ki aca,No,Not Hate
109,Ejonnoi amarro bar bar shotoba hahahaaaaaaaa dite mon cahitece,No,Not Hate
110,Vai amar comment copy kore paste maren .,No,Not Hate
111,Vai man ijjot dubayen na ,No,Not Hate
112,hedar hagoler bal dandi hondaiber taim nai.dandi hondai moja paina.,Yes,Religious
113,Asol kolar sad to say pai ja kola ta sula khaite jane kosa sho ja kamon laga sayta sobi jane ,Yes,Sexual
114,Hummm vai tomer hoito jana nay kusa akbar carale sayta r lagate nay karon sayta korle pore jawar porobonota bara ro moila basi dore durgonto taratari hoi  wash korte korte aksomi dakajabe masin tay nay ,Yes,Sexual
115,Onek experience ase mone hoy... ,No,Not Hate
116,Vala hoiya jaw,No,Not Hate
117,Nunu. Sonnat dise..,Yes,Sexual
118,Maiya manush hoiya ato beshi bujen kn,Yes,Racial
119,Bisoy ta hoite ai ta ,No,Not Hate
120,Napit ar hater kaj valo na buja gachy  ,No,Not Hate
121,Tumi asha kore jaw,No,Not Hate
122,Ohh accha..Hoile kow koira dey..,No,Not Hate
123,Bowdi apnar husband  na parle amk bolben onek moja paben,Yes,Sexual
124,Tomar konta pochondo?? Inbox reply koro ,No,Not Hate
125,Bullet ar chamra jholar moddhe different acei ,Yes,Sexual
126,To apnar duder size koto ,Yes,Sexual
127,Akata babar chodon nite parbi na,Yes,Sexual
128,Apni kata barar kheye dekhn kmn jibone jotodin beche thkben vulben na ,Yes,Sexual
129,ses porjonto etao carlen na eta moskora korar bicou,No,Not Hate
130,Na na uni to jemon khusi sajo competition e naam diyechen ,No,Not Hate
131,Novel niya jan,No,Not Hate
132,Tmi tw shob bujo...masud vlo hoye jao...,No,Not Hate
133,Tmi age valo hau vaiya,No,Not Hate
134,Na eita kintu aami bujte parlam na ,No,Not Hate
135,Bichi baba,Yes,Sexual
136,Asho topa top dei,Yes,Sexual
137,Ekhono shomoy ache bhalo hou,No,Not Hate
138,Odvut duniai bas kori,No,Not Hate
139,Allah hedayet koruk,No,Not Hate
140,Porishkar bangla!!!,No,Not Hate
141,Bhalo kore korite hobe akno full hoi nai ,No,Not Hate
142,Line e dariye jaw,No,Not Hate
143,Avabe islam ke opoman korar kono mane ase?,No,Not Hate
144,"vhi islam ar maje kono karap kaj nei.
Islam ke target kore mosrikra karap kaj kore.
Tai sob kico na jene islam niya karap kota bolien na..
Donno-bad.",No,Not Hate
145,Edit kora pic mone hosse..ring er color o change..,No,Not Hate
146,Amio legend hote aslam ,No,Not Hate
147,Tomar  idendity  Tumi die diyocho brother .Tumi  kon samage bas kro Indian culture na ano Kichu? ,Yes,Racial
148,Half nunu kata,Yes,Sexual
149,amar hat jei kalar kala apnar ei post dekhar por vabbe ami bibahito,No,Not Hate
150,"Vai ami Legend na, trpore o buijja laise",No,Not Hate
151,Rag day er din valo kore bujaye debo ni,No,Not Hate
152,Apner o haat kalo hoyece. Haat duijon er eee kalo hoi. Tobei ekta shongsher hoi.,No,Not Hate
153,Ai rokom fake post korar ki dorkar ami bujhi na,No,Not Hate
154,Faul kotha.corporate job e abar hat kalo hoi kamne,Yes,Appearance
155,Sob e nahoy bujhlam but ey nokh 3 ta ulta keno? Kono lozic khuje pelan na. Kemne ki?,Yes,Appearance
156,eta hat...ami vabsilam murgir theng,Yes,Appearance
157,Forsa Boyfriend er  haat.. R kalo ta jamir er haat,Yes,Racial
158,Shami change  naki bou,No,Not Hate
159,By the way nokh gulan amn rakkhosher moto kn?? Mone hocche jno majh raate ghore petni dhukse ,Yes,Appearance
160,Apnar jamai ki rickshaw chalay apu?,Yes,Appearance
161,Ore Allah Etto mota haath!!!!!,Yes,Appearance
162,Kotha thikKintu filter use Kore mica kotha koiya ki hoilo..amra gadha na apa,Yes,Appearance
163,Finger ring ta o black hoye gese Bedsheet o 11months dhore rekhe disen apu picture tular jonno,Yes,Others
164,post bad de shamner jon re dhek,No,Not Hate
165,fak korle valo kore kor na,Yes,Sexual
166,pola manush evabe public kono function e ba family function e boshle mainshe chagol bolbe....,No,Not Hate
167,Bhai 2.5k like er jonno sesh mesh emne chegaya boshailen onader?,No,Not Hate
168,"togo duidare kutta dia chodano dorkar, jaroj khanki magi kothakar",Yes,Slang
169, post ta por r 4 yrs agekar sei ghotona bhab,No,Not Hate
170,meyeder bosh bad dei karon tomare dekhe meye moneo hoy na. bisri dekhte,Yes,Sexual
171, chutiyaaapaa dekh!!,Yes,Slang
172,Purai abal and vocus ekta ukil. Mane konorokm e pass kore monehoi ei line e esecheBalchal public,Yes,Slang
173,Oi batpar tar dui bichi cheicha dite hobe,Yes,Sexual
174,meghdol bainchud gulo kokhono valo hobe na,Yes,Slang
175,oigula te toh kutnami chara bhalo kichu nai,Yes,Others
176,apnar id ta ghure dekhlam. apnio ekj gay,Yes,Appearance
177,Bhai ei apu der teke amr nach onk valoi ache,Yes,Sexual
178,era ki Bangladesh er? Na mane frankly bhujtesi na vai,Yes,Appearance
179,Bangladeshi nicki minaj ashte beshi deri nai,Yes,Appearance
180,bangladesh obese right activist shommelon,Yes,Appearance
181,halloween e joker dakse ken shob ajob,Yes,Appearance
182,Kondom Box Raka Ucit Oitar Kotha Bollen Na Kn,Yes,Sexual
183,Nijer Jonmodata Bap re maren cz seapnake jonm dice kn?,Yes,Sexual
184,Durgondo Holew Din Shese Rat Holei Ei Purshongo Niye To Narira Khelate Lipto Hoy.,Yes,Sexual
185,Apnare to school er master bananor kam vai ki shikhhitoo manushh,No,Not Hate
186,Ak Nari Jodi 4 Ta Samir Sate Sex Kre R 4 Joneri Jodi Baby Jonmo Dey Tahole Or J Haspatale Sit Age Thekei Booking Kre Rakte Hbe.,Yes,Sexual
187,Areeh id ta to chena chena lage dekhci onk jaigay latthi o khaice meyeder akhono thik hoy na,Yes,Appearance
188,30/32 year e meye takle amake knok daw...,No,Not Hate
189,Besi Boyosi Meye Biye Kra J Kotha Bura Gabi Biye Kra Aki Kotha. Karon 2 Tari Jinis Tkn R Thik Thake Na.,Yes,Sexual
190,"Joghonno vasa hoice, egulo onno vabeo bujhano jeto",Yes,Others
191,Tmr moto meye hole e atto bepod. amader emon kono problem nai jkhane society amader choto kore rekhese,Yes,Sexual
192,"World's best Baja song, Dakta to............ ar moto ar sobdo choyon gulo bap ree bap. Protom bar baba khala ai obostai hoy, Bangladesh a dorshon hobar jonno ai kit gulo w dayi",Yes,Others
193,Proti rat e koyta jamai sex kore?ei pola pure single sure,Yes,Sexual
194,But kotha hocce ei vhabe ki ektao meye potaite parsen ?,Yes,Appearance
195,Apner moto toh shobai gay na,Yes,Appearance
196,Tahole apni hoito nordoma teke uthe esechen,Yes,Appearance
197,magirpolago obostha ei rokomery hoy,Yes,Slang
198,kmny ki.. Room thik asy nh ki fatol dorce,Yes,Appearance
199,Dhur BainChode!,Yes,Slang
200,Proud Bessha ghatok,Yes,Slang
201,Khaishta t shirt poira aestheticness choday,Yes,Appearance
202,Ho bish kha ekhon. Shauwa.,Yes,Slang
203,khali shohobash korbi saradin bosti kothakar.. egula bole islam k manusher chokhe neg banache.. shoytan kothakar,Yes,Sexual
204,"Thik e to ase , bodyr kono care nai sharadin khaway khaway jol hostir moto shorir banay rakhe bachha der , onno polapan dekhe bhoy pay",Yes,Appearance
205,And ei school er principal bokachoda chara allow nah,Yes,Appearance
206,tarporeo baittar height barena,Yes,Appearance
207,Kutta o chayya thkana ashob bal gular upor,Yes,Appearance
208,maney pola hoiyya daam pay nai! Diya ekhon maiyya shaija attention kuraitese?,Yes,Appearance
209,Amar bashar kajer mohila er thika shundor,Yes,Appearance
210,Ei cherir hairstyle emun kya. Eta pola na maiya?,Yes,Sexual
211,shalar is hujur gulai shobchey boro luichcha,Yes,Slang
212,"Uffff bujlm na,Tmi atto sexy kno",Yes,Sexual
213,Sabdhane thaiken apu nahole porir moto apna kaw Rab asaye niya jaben,No,Not Hate
214,Johnny sins aer dorkar akhon,Yes,Sexual
215,nicher tawoo akirokom naki?,Yes,Appearance
216,ai maal a amne t-shirt porse kno??,Yes,Appearance
217,puro kuttar hogar moto lagse..,Yes,Appearance
218,ai bedir mexi khula kno?!,Yes,Appearance
219,vitore thaka talent r 44 size dudh kokhono lukanu jay na.,Yes,Appearance
220,Apnar oita kule jacce kn anty ?,Yes,Appearance
221,Khela ses kore kapor tao thik korar somoy pas nai,Yes,Sexual
222,apnar dudh to pahar er moto boro!!,Yes,Sexual
223,taka lagle boilo tao tmr dudh er conpany bondho koro plz,Yes,Appearance
224,bal marka selfie style,Yes,Appearance
225,salman tip diye dudh khabe akhn,Yes,Sexual
226,Pic tulso tik ace tai bole ato capacapi kno bro Duke jaw 2 jon ar bitor atai better,Yes,Sexual
227,dame kom  mane valo..salman er hoga kalo,Yes,Slang
228,Ore O kheye diso nah?,Yes,Sexual
229,Vai production use kortacen too... amer company ta valo valo production acha to tai bolam..,No,Not Hate
230,ek bar haat mara sikhe gele president hobar sopno jabo ga...taliban mara to dure thak,Yes,Sexual
231,haat mara uchit chilo or baper..projonon khomota nosto hole or moto baccha jonmo nito na..,Yes,Slang
232,Comments on kore dile oy nijei destroy hoy jaito,Yes,Others
233,ekta comment korbo asho sad react diye jao,No,Not Hate
234,Sala besi bal pakna.,Yes,Slang
235,aitteriiii ei naki kahini !!! Evhabe toh vhebe dekhi nai,No,Not Hate
236,je generation sex addicted taderke ar ki e ba bolba!,Yes,Sexual
237,"problem ta asole nam e..
Liton das",Yes,Appearance
238,kuttar bacchare team theke baad dey na kn??,Yes,Slang
239,ato kalo manush hoy!!,Yes,Racial
240,Bandir pola valo ho..,Yes,Slang
241,vhaia prothome pic dekhe vablam apni apnar pic amare ken tag disen,No,Not Hate
242,Bah chudir vai Bah.,Yes,Slang
243,chehara dekhle to kutta muitta dibe!!..apnk natok a nilo k ???,Yes,Appearance
244,uganda public naki apni?,Yes,Racial
245,Wait amare tag marailo kun chudir vai!!!,Yes,Slang
246,vaii tr pblm kii tuii amre khali Hero Alam er loge tag maros kn,Yes,Appearance
247,shala valo kore word uccharon kora shikh pore gaan korish.,Yes,Slang
248," Poribar theke cos2 peye tmr kase asechi,tmr theke kosto pele cigarette er kase jabo.",No,Not Hate
249,Bhai eta cringe o na eta asta khaishta marka ,Yes,Appearance
250,"Vat khaite Hobe kno? Uthay 2 chamoch ""gu"" e kha",Yes,Slang
251,pure geraimma khet,Yes,Appearance
252,arokom ajob kisimir daat dekhar jonno o to manusher like comment kora uchit.,Yes,Appearance
253,kire hala like comment koros na kn?,No,Not Hate
254,Baal (chul) beiccha khao??,Yes,Slang
255,ai maiya r vuri to amr pura sorir thekeo boro!!,Yes,Appearance
256,Cheleder toilet e fele dewa sperm o lakh takay bikri hoy,Yes,Sexual
257,Cringe kheye chole gelam network er baire,No,Not Hate
258,"Hudai etoh din gorib hoye boshe asi",No,Not Hate
259,Pet bair hoia roise. Erokom botka vuri dekhaia ki fayeda? ,Yes,Appearance
260,mathar chul naki putkir chul?,Yes,Slang
261,R bal koto te sell koro?,Yes,Slang
262,Eishob suwor der jonno lalbag ghurte jaina.,Yes,Slang
263,dekhte to shaakchunnir moto lage,Yes,Appearance
264,zoom kore hoga ta dekhar try korben na,Yes,Sexual
265,hala malu,Yes,Religious
266,sala malu gorur mut khas kn gu khailei to paros,Yes,Religious
267,tora hindu ra age thik kor todet ma koyta!,Yes,Religious
268,barishal er manush to!! kharap hobei,Yes,Racial
